bytes	mime	path	public_github_assessment	chrome_publish_assessment
17399	text/plain	.agents/skills/pinchtab/references/api.md	WARN:dogfooded agent instructions/design context; public-safe by scanners, but product-adjacent docs not extension runtime	NOT_CHROME_SURFACE:not included in store ZIP
5858	text/plain	.agents/skills/pinchtab/references/commands.md	WARN:dogfooded agent instructions/design context; public-safe by scanners, but product-adjacent docs not extension runtime	NOT_CHROME_SURFACE:not included in store ZIP
2148	text/plain	.agents/skills/pinchtab/references/env.md	WARN:dogfooded agent instructions/design context; public-safe by scanners, but product-adjacent docs not extension runtime	NOT_CHROME_SURFACE:not included in store ZIP
8804	text/plain	.agents/skills/pinchtab/references/mcp.md	WARN:dogfooded agent instructions/design context; public-safe by scanners, but product-adjacent docs not extension runtime	NOT_CHROME_SURFACE:not included in store ZIP
2863	text/plain	.agents/skills/pinchtab/references/profiles.md	WARN:dogfooded agent instructions/design context; public-safe by scanners, but product-adjacent docs not extension runtime	NOT_CHROME_SURFACE:not included in store ZIP
5464	text/plain	.agents/skills/subagents/SKILL.md	WARN:dogfooded agent instructions/design context; public-safe by scanners, but product-adjacent docs not extension runtime	NOT_CHROME_SURFACE:not included in store ZIP
5874	text/plain	.agents/skills/transcript-search/SKILL.md	WARN:dogfooded agent instructions/design context; public-safe by scanners, but product-adjacent docs not extension runtime	NOT_CHROME_SURFACE:not included in store ZIP
9234	text/plain	.agents/skills/typescript/SKILL.md	WARN:dogfooded agent instructions/design context; public-safe by scanners, but product-adjacent docs not extension runtime	NOT_CHROME_SURFACE:not included in store ZIP
176645	text/plain	.agents/skills/ui/SKILL.md	WARN:dogfooded agent instructions/design context; public-safe by scanners, but product-adjacent docs not extension runtime	NOT_CHROME_SURFACE:not included in store ZIP
30238	text/plain	.agents/wranngle-DESIGN.md	WARN:dogfooded agent instructions/design context; public-safe by scanners, but product-adjacent docs not extension runtime	NOT_CHROME_SURFACE:not included in store ZIP
1	application/octet-stream	.dotfiles-readme-managed	OK:publishable project file	NOT_CHROME_SURFACE:not included in store ZIP
309114	text/x-shellscript	.dotfiles.sh	WARN:large personal dotfiles/bootstrap script; no scanner leak, but high review burden for public repo	NOT_CHROME_SURFACE:not included in store ZIP
259	text/plain	.editorconfig	OK:publishable project file	NOT_CHROME_SURFACE:not included in store ZIP
381	text/plain	.gitattributes	OK:publishable project file	NOT_CHROME_SURFACE:not included in store ZIP
49	text/plain	.github/CODEOWNERS	OK:public repo automation/community config	NOT_CHROME_SURFACE:not included in store ZIP
1319	text/plain	.github/ISSUE_TEMPLATE/bug_report.yml	OK:public repo automation/community config	NOT_CHROME_SURFACE:not included in store ZIP
365	text/plain	.github/ISSUE_TEMPLATE/config.yml	OK:public repo automation/community config	NOT_CHROME_SURFACE:not included in store ZIP
1066	text/plain	.github/ISSUE_TEMPLATE/feature_request.yml	OK:public repo automation/community config	NOT_CHROME_SURFACE:not included in store ZIP
1047	text/plain	.github/ISSUE_TEMPLATE/research.yml	OK:public repo automation/community config	NOT_CHROME_SURFACE:not included in store ZIP
668	text/plain	.github/PULL_REQUEST_TEMPLATE.md	OK:public repo automation/community config	NOT_CHROME_SURFACE:not included in store ZIP
953	text/plain	.github/dependabot.yml	OK:public repo automation/community config	NOT_CHROME_SURFACE:not included in store ZIP
6372	text/plain	.github/workflows/automerge.yml	OK:public repo automation/community config	NOT_CHROME_SURFACE:not included in store ZIP
4537	text/plain	.github/workflows/ci.yml	OK:public repo automation/community config	NOT_CHROME_SURFACE:not included in store ZIP
1327	text/plain	.github/workflows/gitleaks.yml	OK:public repo automation/community config	NOT_CHROME_SURFACE:not included in store ZIP
2898	text/plain	.github/workflows/issue-triage.yml	OK:public repo automation/community config	NOT_CHROME_SURFACE:not included in store ZIP
1192	text/plain	.github/workflows/pr-link-check.yml	OK:public repo automation/community config	NOT_CHROME_SURFACE:not included in store ZIP
6612	text/plain	.github/workflows/security.yml	OK:public repo automation/community config	NOT_CHROME_SURFACE:not included in store ZIP
5551	text/plain	.gitignore	OK:publishable project file	NOT_CHROME_SURFACE:not included in store ZIP
959	text/plain	.gitleaks.toml	OK:publishable project file	NOT_CHROME_SURFACE:not included in store ZIP
0	inode/x-empty	.symphony/issues/done/.gitkeep	OK:publishable project file	NOT_CHROME_SURFACE:not included in store ZIP
0	inode/x-empty	.symphony/issues/in_progress/.gitkeep	OK:publishable project file	NOT_CHROME_SURFACE:not included in store ZIP
0	inode/x-empty	.symphony/issues/todo/.gitkeep	OK:publishable project file	NOT_CHROME_SURFACE:not included in store ZIP
218	text/plain	.yamllint.yml	OK:publishable project file	NOT_CHROME_SURFACE:not included in store ZIP
196	text/plain	CODE_OF_CONDUCT.md	OK:publishable project file	NOT_CHROME_SURFACE:not included in store ZIP
2302	text/plain	CONTRIBUTING.md	OK:publishable project file	NOT_CHROME_SURFACE:not included in store ZIP
184005	text/plain	DESIGN.md	OK:publishable project file	NOT_CHROME_SURFACE:not included in store ZIP
1071	text/plain	LICENSE	OK:publishable project file	NOT_CHROME_SURFACE:not included in store ZIP
2711	text/plain	README.md	OK:publishable project file	NOT_CHROME_SURFACE:not included in store ZIP
1603	text/plain	SECURITY.md	OK:publishable project file	NOT_CHROME_SURFACE:not included in store ZIP
702	text/plain	WORKFLOW.md	OK:publishable project file	NOT_CHROME_SURFACE:not included in store ZIP
3826	application/javascript	bin/pinchgrab	OK:publishable project file	NOT_CHROME_SURFACE:not included in store ZIP
2161	application/javascript	bin/replay-multi	OK:publishable project file	NOT_CHROME_SURFACE:not included in store ZIP
1111	text/x-shellscript	bin/symphony	OK:publishable project file	NOT_CHROME_SURFACE:not included in store ZIP
120652	application/json	bun.lock	OK:publishable project file	SOURCE_OR_LISTING:feeds Chrome build/listing but not directly uploaded unless under extension/
348	text/plain	demo/cassette.tape	OK:publishable project file	NOT_CHROME_SURFACE:not included in store ZIP
0	inode/x-empty	docs/.gitkeep	OK:publishable project file	NOT_CHROME_SURFACE:not included in store ZIP
22426	text/plain	docs/BROWSER-EXTENSION-DEPLOYMENT.md	OK:publishable project file	SOURCE_OR_LISTING:feeds Chrome build/listing but not directly uploaded unless under extension/
4427	text/plain	docs/PRIVACY.md	OK:publishable project file	SOURCE_OR_LISTING:feeds Chrome build/listing but not directly uploaded unless under extension/
77468	text/plain	docs/PUBLICATION_FILE_INVENTORY.tsv	AUDIT_ARTIFACT:generated by publication readiness audit	NOT_CHROME_SURFACE:not included in store ZIP
10078	text/plain	docs/PUBLICATION_READINESS_AUDIT.md	AUDIT_ARTIFACT:generated by publication readiness audit	NOT_CHROME_SURFACE:not included in store ZIP
14394	application/x-ndjson	docs/capture-sample.jsonl	OK:publishable project file	NOT_CHROME_SURFACE:not included in store ZIP
15104	application/json	docs/capture-schema.json	OK:publishable project file	NOT_CHROME_SURFACE:not included in store ZIP
37083	image/gif	docs/hero.gif	OK:binary visual asset	NOT_CHROME_SURFACE:not included in store ZIP
4884	text/plain	docs/universal-git-agent-spec.md	OK:publishable project file	NOT_CHROME_SURFACE:not included in store ZIP
447	text/plain	extension/README.txt	WARN:tracked dev-only generated readme contains local WSL path; package script excludes from Chrome ZIP	EXCLUDED:dev-only; package strips it
144419	application/javascript	extension/background.js	OK:generated unpacked extension artifact; useful for load-unpacked repo installs	IN_ZIP:included in dist/pinchgrab-1.1.0.zip
509625	application/javascript	extension/content-script.js	OK:generated unpacked extension artifact; useful for load-unpacked repo installs	IN_ZIP:included in dist/pinchgrab-1.1.0.zip
11643	image/png	extension/icons/icon128.png	OK:generated unpacked extension artifact; useful for load-unpacked repo installs	IN_ZIP:included in dist/pinchgrab-1.1.0.zip
833	image/png	extension/icons/icon16.png	OK:generated unpacked extension artifact; useful for load-unpacked repo installs	IN_ZIP:included in dist/pinchgrab-1.1.0.zip
2143	image/png	extension/icons/icon32.png	OK:generated unpacked extension artifact; useful for load-unpacked repo installs	IN_ZIP:included in dist/pinchgrab-1.1.0.zip
3728	image/png	extension/icons/icon48.png	OK:generated unpacked extension artifact; useful for load-unpacked repo installs	IN_ZIP:included in dist/pinchgrab-1.1.0.zip
846	application/json	extension/manifest.json	OK:generated unpacked extension artifact; useful for load-unpacked repo installs	IN_ZIP:included in dist/pinchgrab-1.1.0.zip
60741	text/plain	extension/sidepanel.css	OK:generated unpacked extension artifact; useful for load-unpacked repo installs	IN_ZIP:included in dist/pinchgrab-1.1.0.zip
21943	text/html	extension/sidepanel.html	OK:generated unpacked extension artifact; useful for load-unpacked repo installs	IN_ZIP:included in dist/pinchgrab-1.1.0.zip
760023	application/javascript	extension/sidepanel.js	OK:generated unpacked extension artifact; useful for load-unpacked repo installs	IN_ZIP:included in dist/pinchgrab-1.1.0.zip
1597	text/plain	extension/templates/DESIGN.template.md	OK:generated unpacked extension artifact; useful for load-unpacked repo installs	IN_ZIP:included in dist/pinchgrab-1.1.0.zip
176643	text/plain	extension/templates/PinchGrab.SKILL.template.md	OK:generated unpacked extension artifact; useful for load-unpacked repo installs	IN_ZIP:included in dist/pinchgrab-1.1.0.zip
3775	application/javascript	lib/composio-orchestrator/README.md	WARN:vendored/local orchestration library; public-safe by scanners, but unrelated to extension product surface	NOT_CHROME_SURFACE:not included in store ZIP
15348	application/javascript	lib/composio-orchestrator/bin/composio-orch.ts	WARN:vendored/local orchestration library; public-safe by scanners, but unrelated to extension product surface	NOT_CHROME_SURFACE:not included in store ZIP
926	application/javascript	lib/composio-orchestrator/daemon/gcLoop.ts	WARN:vendored/local orchestration library; public-safe by scanners, but unrelated to extension product surface	NOT_CHROME_SURFACE:not included in store ZIP
6623	application/javascript	lib/composio-orchestrator/daemon/webhookReceiver.ts	WARN:vendored/local orchestration library; public-safe by scanners, but unrelated to extension product surface	NOT_CHROME_SURFACE:not included in store ZIP
3462	application/javascript	lib/composio-orchestrator/daemon/workerTail.ts	WARN:vendored/local orchestration library; public-safe by scanners, but unrelated to extension product surface	NOT_CHROME_SURFACE:not included in store ZIP
76795	application/json	lib/composio-orchestrator/package-lock.json	WARN:vendored/local orchestration library; public-safe by scanners, but unrelated to extension product surface	NOT_CHROME_SURFACE:not included in store ZIP
837	application/json	lib/composio-orchestrator/package.json	WARN:vendored/local orchestration library; public-safe by scanners, but unrelated to extension product surface	NOT_CHROME_SURFACE:not included in store ZIP
3285	application/javascript	lib/composio-orchestrator/src/artifactPaths.ts	WARN:vendored/local orchestration library; public-safe by scanners, but unrelated to extension product surface	NOT_CHROME_SURFACE:not included in store ZIP
2990	application/javascript	lib/composio-orchestrator/src/atomicJsonFile.ts	WARN:vendored/local orchestration library; public-safe by scanners, but unrelated to extension product surface	NOT_CHROME_SURFACE:not included in store ZIP
3659	application/javascript	lib/composio-orchestrator/src/authConfigCache.ts	WARN:vendored/local orchestration library; public-safe by scanners, but unrelated to extension product surface	NOT_CHROME_SURFACE:not included in store ZIP
6340	application/javascript	lib/composio-orchestrator/src/authSchemeNegotiator.ts	WARN:vendored/local orchestration library; public-safe by scanners, but unrelated to extension product surface	NOT_CHROME_SURFACE:not included in store ZIP
1384	application/javascript	lib/composio-orchestrator/src/composioClient.ts	WARN:vendored/local orchestration library; public-safe by scanners, but unrelated to extension product surface	NOT_CHROME_SURFACE:not included in store ZIP
3807	application/javascript	lib/composio-orchestrator/src/credentialEnvLoader.ts	WARN:vendored/local orchestration library; public-safe by scanners, but unrelated to extension product surface	NOT_CHROME_SURFACE:not included in store ZIP
418	application/javascript	lib/composio-orchestrator/src/disableTokenMasking.ts	WARN:vendored/local orchestration library; public-safe by scanners, but unrelated to extension product surface	NOT_CHROME_SURFACE:not included in store ZIP
6045	application/javascript	lib/composio-orchestrator/src/dynamicCascadeResearcher.ts	WARN:vendored/local orchestration library; public-safe by scanners, but unrelated to extension product surface	NOT_CHROME_SURFACE:not included in store ZIP
3264	application/javascript	lib/composio-orchestrator/src/dynamicMasking.ts	WARN:vendored/local orchestration library; public-safe by scanners, but unrelated to extension product surface	NOT_CHROME_SURFACE:not included in store ZIP
8217	application/javascript	lib/composio-orchestrator/src/elevenlabsMegatool.ts	WARN:vendored/local orchestration library; public-safe by scanners, but unrelated to extension product surface	NOT_CHROME_SURFACE:not included in store ZIP
20093	application/javascript	lib/composio-orchestrator/src/ensureAuth.ts	WARN:vendored/local orchestration library; public-safe by scanners, but unrelated to extension product surface	NOT_CHROME_SURFACE:not included in store ZIP
4263	application/javascript	lib/composio-orchestrator/src/envFileMutator.ts	WARN:vendored/local orchestration library; public-safe by scanners, but unrelated to extension product surface	NOT_CHROME_SURFACE:not included in store ZIP
1137	application/javascript	lib/composio-orchestrator/src/errors.ts	WARN:vendored/local orchestration library; public-safe by scanners, but unrelated to extension product surface	NOT_CHROME_SURFACE:not included in store ZIP
4271	application/javascript	lib/composio-orchestrator/src/executionPathSelector.ts	WARN:vendored/local orchestration library; public-safe by scanners, but unrelated to extension product surface	NOT_CHROME_SURFACE:not included in store ZIP
4344	application/javascript	lib/composio-orchestrator/src/gatewayOps.ts	WARN:vendored/local orchestration library; public-safe by scanners, but unrelated to extension product surface	NOT_CHROME_SURFACE:not included in store ZIP
4962	application/javascript	lib/composio-orchestrator/src/gcStaleConnections.ts	WARN:vendored/local orchestration library; public-safe by scanners, but unrelated to extension product surface	NOT_CHROME_SURFACE:not included in store ZIP
3022	application/javascript	lib/composio-orchestrator/src/index.ts	WARN:vendored/local orchestration library; public-safe by scanners, but unrelated to extension product surface	NOT_CHROME_SURFACE:not included in store ZIP
2985	application/javascript	lib/composio-orchestrator/src/jsonlAppender.ts	WARN:vendored/local orchestration library; public-safe by scanners, but unrelated to extension product surface	NOT_CHROME_SURFACE:not included in store ZIP
6441	application/javascript	lib/composio-orchestrator/src/lintEnvVars.ts	WARN:vendored/local orchestration library; public-safe by scanners, but unrelated to extension product surface	NOT_CHROME_SURFACE:not included in store ZIP
2345	application/javascript	lib/composio-orchestrator/src/logging.ts	WARN:vendored/local orchestration library; public-safe by scanners, but unrelated to extension product surface	NOT_CHROME_SURFACE:not included in store ZIP
3680	application/javascript	lib/composio-orchestrator/src/mcpConfig.ts	WARN:vendored/local orchestration library; public-safe by scanners, but unrelated to extension product surface	NOT_CHROME_SURFACE:not included in store ZIP
3919	application/javascript	lib/composio-orchestrator/src/pendingAuthStore.ts	WARN:vendored/local orchestration library; public-safe by scanners, but unrelated to extension product surface	NOT_CHROME_SURFACE:not included in store ZIP
2303	application/javascript	lib/composio-orchestrator/src/pendingAuthSync.ts	WARN:vendored/local orchestration library; public-safe by scanners, but unrelated to extension product surface	NOT_CHROME_SURFACE:not included in store ZIP
1574	application/javascript	lib/composio-orchestrator/src/providerRegistry.ts	WARN:vendored/local orchestration library; public-safe by scanners, but unrelated to extension product surface	NOT_CHROME_SURFACE:not included in store ZIP
7026	application/javascript	lib/composio-orchestrator/src/reconcile.ts	WARN:vendored/local orchestration library; public-safe by scanners, but unrelated to extension product surface	NOT_CHROME_SURFACE:not included in store ZIP
1202	application/javascript	lib/composio-orchestrator/src/runWithToolkit.ts	WARN:vendored/local orchestration library; public-safe by scanners, but unrelated to extension product surface	NOT_CHROME_SURFACE:not included in store ZIP
1760	application/javascript	lib/composio-orchestrator/src/sessionFactory.ts	WARN:vendored/local orchestration library; public-safe by scanners, but unrelated to extension product surface	NOT_CHROME_SURFACE:not included in store ZIP
1176	application/javascript	lib/composio-orchestrator/src/statePaths.ts	WARN:vendored/local orchestration library; public-safe by scanners, but unrelated to extension product surface	NOT_CHROME_SURFACE:not included in store ZIP
3629	application/javascript	lib/composio-orchestrator/src/toolingCapabilityRegistry.ts	WARN:vendored/local orchestration library; public-safe by scanners, but unrelated to extension product surface	NOT_CHROME_SURFACE:not included in store ZIP
3320	application/javascript	lib/composio-orchestrator/src/triggerRegistrar.ts	WARN:vendored/local orchestration library; public-safe by scanners, but unrelated to extension product surface	NOT_CHROME_SURFACE:not included in store ZIP
10200	application/javascript	lib/composio-orchestrator/src/upstreamCredentialSmoke.ts	WARN:vendored/local orchestration library; public-safe by scanners, but unrelated to extension product surface	NOT_CHROME_SURFACE:not included in store ZIP
1156	application/javascript	lib/composio-orchestrator/src/validateSlug.ts	WARN:vendored/local orchestration library; public-safe by scanners, but unrelated to extension product surface	NOT_CHROME_SURFACE:not included in store ZIP
1752	application/javascript	lib/composio-orchestrator/src/webhookSignature.ts	WARN:vendored/local orchestration library; public-safe by scanners, but unrelated to extension product surface	NOT_CHROME_SURFACE:not included in store ZIP
335	application/javascript	lib/composio-orchestrator/src/zodV3.ts	WARN:vendored/local orchestration library; public-safe by scanners, but unrelated to extension product surface	NOT_CHROME_SURFACE:not included in store ZIP
4228	application/javascript	lib/composio-orchestrator/test/artifactPaths.test.ts	WARN:vendored/local orchestration library; public-safe by scanners, but unrelated to extension product surface	NOT_CHROME_SURFACE:not included in store ZIP
2153	application/javascript	lib/composio-orchestrator/test/atomicJsonFile.test.ts	WARN:vendored/local orchestration library; public-safe by scanners, but unrelated to extension product surface	NOT_CHROME_SURFACE:not included in store ZIP
2698	application/javascript	lib/composio-orchestrator/test/authConfigCache.test.ts	WARN:vendored/local orchestration library; public-safe by scanners, but unrelated to extension product surface	NOT_CHROME_SURFACE:not included in store ZIP
4621	application/javascript	lib/composio-orchestrator/test/authSchemeNegotiator.test.ts	WARN:vendored/local orchestration library; public-safe by scanners, but unrelated to extension product surface	NOT_CHROME_SURFACE:not included in store ZIP
4116	application/javascript	lib/composio-orchestrator/test/credentialEnvLoader.test.ts	WARN:vendored/local orchestration library; public-safe by scanners, but unrelated to extension product surface	NOT_CHROME_SURFACE:not included in store ZIP
3689	application/javascript	lib/composio-orchestrator/test/dynamicCascadeResearcher.test.ts	WARN:vendored/local orchestration library; public-safe by scanners, but unrelated to extension product surface	NOT_CHROME_SURFACE:not included in store ZIP
2233	application/javascript	lib/composio-orchestrator/test/dynamicMasking.test.ts	WARN:vendored/local orchestration library; public-safe by scanners, but unrelated to extension product surface	NOT_CHROME_SURFACE:not included in store ZIP
16044	application/javascript	lib/composio-orchestrator/test/ensureAuth.test.ts	WARN:vendored/local orchestration library; public-safe by scanners, but unrelated to extension product surface	NOT_CHROME_SURFACE:not included in store ZIP
3152	application/javascript	lib/composio-orchestrator/test/envFileMutator.test.ts	WARN:vendored/local orchestration library; public-safe by scanners, but unrelated to extension product surface	NOT_CHROME_SURFACE:not included in store ZIP
2129	application/javascript	lib/composio-orchestrator/test/executionPathSelector.test.ts	WARN:vendored/local orchestration library; public-safe by scanners, but unrelated to extension product surface	NOT_CHROME_SURFACE:not included in store ZIP
7684	application/javascript	lib/composio-orchestrator/test/gcStaleConnections.test.ts	WARN:vendored/local orchestration library; public-safe by scanners, but unrelated to extension product surface	NOT_CHROME_SURFACE:not included in store ZIP
3021	application/javascript	lib/composio-orchestrator/test/integration.test.ts	WARN:vendored/local orchestration library; public-safe by scanners, but unrelated to extension product surface	NOT_CHROME_SURFACE:not included in store ZIP
3671	application/javascript	lib/composio-orchestrator/test/pendingAuthStore.test.ts	WARN:vendored/local orchestration library; public-safe by scanners, but unrelated to extension product surface	NOT_CHROME_SURFACE:not included in store ZIP
760	application/javascript	lib/composio-orchestrator/test/providerRegistry.test.ts	WARN:vendored/local orchestration library; public-safe by scanners, but unrelated to extension product surface	NOT_CHROME_SURFACE:not included in store ZIP
1383	application/javascript	lib/composio-orchestrator/test/toolingCapabilityRegistry.test.ts	WARN:vendored/local orchestration library; public-safe by scanners, but unrelated to extension product surface	NOT_CHROME_SURFACE:not included in store ZIP
4712	application/javascript	lib/composio-orchestrator/test/upstreamCredentialSmoke.test.ts	WARN:vendored/local orchestration library; public-safe by scanners, but unrelated to extension product surface	NOT_CHROME_SURFACE:not included in store ZIP
854	application/javascript	lib/composio-orchestrator/test/validateSlug.test.ts	WARN:vendored/local orchestration library; public-safe by scanners, but unrelated to extension product surface	NOT_CHROME_SURFACE:not included in store ZIP
4170	application/javascript	lib/composio-orchestrator/test/webhookSignature.test.ts	WARN:vendored/local orchestration library; public-safe by scanners, but unrelated to extension product surface	NOT_CHROME_SURFACE:not included in store ZIP
436	application/json	lib/composio-orchestrator/tsconfig.json	WARN:vendored/local orchestration library; public-safe by scanners, but unrelated to extension product surface	NOT_CHROME_SURFACE:not included in store ZIP
157	application/javascript	lib/composio-orchestrator/vitest.config.ts	WARN:vendored/local orchestration library; public-safe by scanners, but unrelated to extension product surface	NOT_CHROME_SURFACE:not included in store ZIP
49310	application/json	lib/composio-orchestrator/worker/package-lock.json	WARN:vendored/local orchestration library; public-safe by scanners, but unrelated to extension product surface	NOT_CHROME_SURFACE:not included in store ZIP
319	application/json	lib/composio-orchestrator/worker/package.json	WARN:vendored/local orchestration library; public-safe by scanners, but unrelated to extension product surface	NOT_CHROME_SURFACE:not included in store ZIP
10753	application/javascript	lib/composio-orchestrator/worker/src/index.ts	WARN:vendored/local orchestration library; public-safe by scanners, but unrelated to extension product surface	NOT_CHROME_SURFACE:not included in store ZIP
253	application/json	lib/composio-orchestrator/worker/tsconfig.json	WARN:vendored/local orchestration library; public-safe by scanners, but unrelated to extension product surface	NOT_CHROME_SURFACE:not included in store ZIP
140	text/plain	lib/composio-orchestrator/worker/wrangler.toml	WARN:vendored/local orchestration library; public-safe by scanners, but unrelated to extension product surface	NOT_CHROME_SURFACE:not included in store ZIP
77	text/plain	lib/symphony-elixir/.formatter.exs	WARN:vendored/local orchestration library; public-safe by scanners, but unrelated to extension product surface	NOT_CHROME_SURFACE:not included in store ZIP
11558	text/plain	lib/symphony-elixir/LICENSE-APACHE-2.0	WARN:vendored/local orchestration library; public-safe by scanners, but unrelated to extension product surface	NOT_CHROME_SURFACE:not included in store ZIP
1691	text/plain	lib/symphony-elixir/NOTICE	WARN:vendored/local orchestration library; public-safe by scanners, but unrelated to extension product surface	NOT_CHROME_SURFACE:not included in store ZIP
6826	text/plain	lib/symphony-elixir/README.md	WARN:vendored/local orchestration library; public-safe by scanners, but unrelated to extension product surface	NOT_CHROME_SURFACE:not included in store ZIP
1149	text/plain	lib/symphony-elixir/config/config.exs	WARN:vendored/local orchestration library; public-safe by scanners, but unrelated to extension product surface	NOT_CHROME_SURFACE:not included in store ZIP
649	text/plain	lib/symphony-elixir/config/dev.exs	WARN:vendored/local orchestration library; public-safe by scanners, but unrelated to extension product surface	NOT_CHROME_SURFACE:not included in store ZIP
2029	text/plain	lib/symphony-elixir/config/orchestration.exs	WARN:vendored/local orchestration library; public-safe by scanners, but unrelated to extension product surface	NOT_CHROME_SURFACE:not included in store ZIP
1059	text/plain	lib/symphony-elixir/config/prod.exs	WARN:vendored/local orchestration library; public-safe by scanners, but unrelated to extension product surface	NOT_CHROME_SURFACE:not included in store ZIP
533	text/plain	lib/symphony-elixir/config/test.exs	WARN:vendored/local orchestration library; public-safe by scanners, but unrelated to extension product surface	NOT_CHROME_SURFACE:not included in store ZIP
1607	text/plain	lib/symphony-elixir/docs/logging.md	WARN:vendored/local orchestration library; public-safe by scanners, but unrelated to extension product surface	NOT_CHROME_SURFACE:not included in store ZIP
11409	text/plain	lib/symphony-elixir/docs/references/symphony-config-dual-track-audit.md	WARN:vendored/local orchestration library; public-safe by scanners, but unrelated to extension product surface	NOT_CHROME_SURFACE:not included in store ZIP
2664	text/plain	lib/symphony-elixir/docs/references/symphony-followups.md	WARN:vendored/local orchestration library; public-safe by scanners, but unrelated to extension product surface	NOT_CHROME_SURFACE:not included in store ZIP
3220	text/plain	lib/symphony-elixir/docs/references/symphony-github-issues-adapter.md	WARN:vendored/local orchestration library; public-safe by scanners, but unrelated to extension product surface	NOT_CHROME_SURFACE:not included in store ZIP
10461	text/plain	lib/symphony-elixir/docs/references/symphony-orchestration.md	WARN:vendored/local orchestration library; public-safe by scanners, but unrelated to extension product surface	NOT_CHROME_SURFACE:not included in store ZIP
11088	text/plain	lib/symphony-elixir/docs/references/symphony-orchestrator-function-audit.md	WARN:vendored/local orchestration library; public-safe by scanners, but unrelated to extension product surface	NOT_CHROME_SURFACE:not included in store ZIP
2795	text/plain	lib/symphony-elixir/docs/references/symphony-otp-version-pin.md	WARN:vendored/local orchestration library; public-safe by scanners, but unrelated to extension product surface	NOT_CHROME_SURFACE:not included in store ZIP
31441	text/plain	lib/symphony-elixir/docs/references/symphony-upstream-drift.md	WARN:vendored/local orchestration library; public-safe by scanners, but unrelated to extension product surface	NOT_CHROME_SURFACE:not included in store ZIP
9172	text/plain	lib/symphony-elixir/docs/token_accounting.md	WARN:vendored/local orchestration library; public-safe by scanners, but unrelated to extension product surface	NOT_CHROME_SURFACE:not included in store ZIP
5779	text/plain	lib/symphony-elixir/lib/mix/tasks/local_shell_probe.ex	WARN:vendored/local orchestration library; public-safe by scanners, but unrelated to extension product surface	NOT_CHROME_SURFACE:not included in store ZIP
6606	text/plain	lib/symphony-elixir/lib/mix/tasks/pr_body_check.ex	WARN:vendored/local orchestration library; public-safe by scanners, but unrelated to extension product surface	NOT_CHROME_SURFACE:not included in store ZIP
